"name","rank","count","prop100k","cum_prop100k","pctwhite","pctblack","pctapi","pctaian","pct2prace","pcthispanic"
"LONG",97,229374,77.76,17087.73,"79.88","12.1","2.48","1.32","1.97","2.24"
"CHEN",150,169580,57.49,20664.71,"1.4","0.3","96.12","0.02","1.64","0.52"
"LI",273,111786,37.9,26405.23,"1.49","0.19","96.78","0.02","0.89","0.63"
"LE",277,110967,37.62,26556.03,"1.49","0.23","95.59","0.03","1.92","0.75"
"WANG",282,109883,37.25,26743.15,"2.59","0.29","95.24","0.02","1.5","0.35"
"YANG",290,106033,35.95,27035.48,"1.03","0.2","96.81","0.02","1.5","0.45"
"CHANG",391,81939,27.78,30196,"2.37","0.87","88.84","0.03","4.18","3.71"
"LIN",402,79508,26.95,30495.96,"1.7","0.18","95.85","0.02","1.77","0.47"
"LIU",411,78370,26.57,30736.34,"1.79","0.17","95.62","0.02","1.86","0.54"
"HUANG",456,72328,24.52,31885.52,"0.9","0.11","97.14","0.02","1.42","0.4"
"WU",461,71721,24.31,32007.43,"1.37","0.18","96.37","0.02","1.59","0.48"
"ZHANG",472,70125,23.77,32272,"0.99","0.16","98.06","0.02","0.62","0.15"
"LANG",545,61529,20.86,33903.87,"81.36","10.38","3.31","0.59","1.84","2.52"
"YU",658,52035,17.64,36059.64,"1.46","0.12","96.1","0.02","1.61","0.69"
"XIONG",929,37499,12.71,40100.38,"0.33","0.07","98.07","0.03","1.14","0.35"
"LU",978,35628,12.08,40705.64,"1.77","0.36","95.74","0.02","1.43","0.69"
"TANG",999,34961,11.85,40956.51,"2.64","0.62","93.31","0.05","2.13","1.25"
"CHENG",1063,32982,11.18,41691.27,"1.86","0.2","94.63","0.03","2.22","1.06"
"KANG",1084,32221,10.92,41923.29,"3.08","0.56","93.86","0.03","1.81","0.67"
"TAN",1090,32120,10.89,41988.71,"3.3","0.19","92.37","0.11","2.62","1.42"
"HONG",1106,31670,10.74,42161.52,"7.23","0.97","88.12","0.19","2.33","1.15"
"DANG",1155,30389,10.3,42677.09,"1.75","0.34","95","0.03","2.12","0.76"
"HAN",1182,29847,10.12,42952.38,"4.24","0.5","92.67","0.07","1.7","0.82"
"CHU",1238,28508,9.66,43506.95,"2.61","(S)","92.14","(S)","3.3","1.68"
"MA",1240,28452,9.65,43526.24,"3.07","0.45","93.51","0.06","1.37","1.54"
"XU",1381,25622,8.69,44810.72,"0.83","0.12","98.25","0.02","0.55","0.24"
"ZHENG",1409,25242,8.56,45051.99,"0.74","(S)","98.02","(S)","0.92","0.2"
"SONG",1415,25110,8.51,45103.14,"1.98","0.45","95.15","0.04","1.74","0.65"
"LIANG",1480,24140,8.18,45645.54,"1.44","(S)","96.72","(S)","1.19","0.46"
"SUN",1484,24058,8.16,45678.19,"2.59","0.26","94.46","0.26","1.67","0.76"
"ZHOU",1532,23437,7.95,46064.67,"0.98","0.18","98.2","(S)","0.51","(S)"
"ZHAO",1613,22301,7.56,46691.82,"0.96","0.13","98.11","0.02","0.52","0.26"
"ZHU",1694,21265,7.21,47290.04,"0.88","(S)","98.23","(S)","0.58","0.16"
"HU",1797,19999,6.78,48007.9,"2.22","0.37","94.93","0.04","1.63","0.81"
"JIANG",1849,19409,6.58,48361.11,"0.87","(S)","97.88","(S)","0.86","0.19"
"LAI",1873,19157,6.49,48511.42,"3.48","0.31","91.72","0.04","3.24","1.22"
"HA",1987,18156,6.16,49233.23,"3.67","0.69","92.93","0.04","2.03","0.63"
"CAO",1989,18138,6.15,49245.53,"1.38","(S)","95.22","(S)","1.05","2.12"
"YI",2011,17934,6.08,49380.17,"1.41","0.18","94.45","0.03","2.13","1.8"
"MAI",2075,17445,5.91,49763.11,"11.32","0.55","85.47","0.11","1.4","1.14"
"HE",2373,15363,5.21,51416.91,"2.29","(S)","95.92","(S)","0.49","0.97"
"KONG",2551,14165,4.8,52304.2,"4.46","2.22","87.91","0.09","3.54","1.78"
"TONG",2730,13196,4.47,53132.89,"11.58","1.51","81.26","0.14","3.38","2.14"
